file_path,file_name,size_mb,extracted_chars,billed_chars_per_lang,langs,billed_chars_total,est_cost_usd,status,notes
data\DuraFlex Service and Repair Guide V2.00_12May2023.pdf,DuraFlex Service and Repair Guide V2.00_12May2023.pdf,22.55,315034,315034,"PL,DE,ES",945102,23.63,OK,
data\DuraBolt Installation Guide_v6.0_18Aug2025.pdf,DuraBolt Installation Guide_v6.0_18Aug2025.pdf,21.23,289168,289168,"PL,DE,ES",867504,21.69,OK,
data\DuraCore 1x1 Print Engine Installation Guide_v2.0_18Aug2025.pdf,DuraCore 1x1 Print Engine Installation Guide_v2.0_18Aug2025.pdf,20.82,255022,255022,"PL,DE,ES",765066,19.13,OK,
data\DuraFlex Installation and Commissioning Guide V5.01_06Apr2023.pdf,DuraFlex Installation and Commissioning Guide V5.01_06Apr2023.pdf,11.37,183507,183507,"PL,DE,ES",550521,13.76,OK,
data\DuraFlex Troubleshooting Guide V4.05_30May2022.pdf,DuraFlex Troubleshooting Guide V4.05_30May2022.pdf,3.67,144853,144853,"PL,DE,ES",434559,10.86,OK,
data\DuraFlex Mechanical and Fluidics Databook and Design Guide V4.02_15Jul2021.pdf,DuraFlex Mechanical and Fluidics Databook and Design Guide V4.02_15Jul2021.pdf,7.39,117527,117527,"PL,DE,ES",352581,8.81,OK,
data\DuraFlex Operations Guide V4.06_21Sep2022.pdf,DuraFlex Operations Guide V4.06_21Sep2022.pdf,3.05,109516,109516,"PL,DE,ES",328548,8.21,OK,
data\DuraFlex Printhead Cradle Repair Guide_V1.1_03Oct2025.pdf,DuraFlex Printhead Cradle Repair Guide_V1.1_03Oct2025.pdf,8.66,99018,99018,"PL,DE,ES",297054,7.43,OK,
data\Arrow Any-002 Manual.pdf,Arrow Any-002 Manual.pdf,6.2,83248,83248,"PL,DE,ES",249744,6.24,OK,
data\EZCut 330 User Manual Ver.202106 (1).pdf,EZCut 330 User Manual Ver.202106 (1).pdf,8.96,72501,72501,"PL,DE,ES",217503,5.44,OK,
data\anyCUTII User Manual_ver1.0_ENG (1).pdf,anyCUTII User Manual_ver1.0_ENG (1).pdf,5.61,71039,71039,"PL,DE,ES",213117,5.33,OK,
data\anyCUTIII User Manual_ver1.1_ENG_Ana (2).pdf,anyCUTIII User Manual_ver1.1_ENG_Ana (2).pdf,5.82,68841,68841,"PL,DE,ES",206523,5.16,OK,
data\DuraFlex_Command Line Interface-Supplimental_V1.0_29April2025.pdf,DuraFlex_Command Line Interface-Supplimental_V1.0_29April2025.pdf,0.72,67853,67853,"PL,DE,ES",203559,5.09,OK,
data\2800 Series Mini Laser Pro User Manual Draft.pdf,2800 Series Mini Laser Pro User Manual Draft.pdf,3.5,53779,53779,"PL,DE,ES",161337,4.03,OK,
data\original_pdfs_test\2800 Series Mini Laser Pro User Manual Draft.pdf,2800 Series Mini Laser Pro User Manual Draft.pdf,3.5,53779,53779,"PL,DE,ES",161337,4.03,OK,
data\DuraFlex Software Databook and Design Guide R3.1.1_V1.00_09Jun2020.pdf,DuraFlex Software Databook and Design Guide R3.1.1_V1.00_09Jun2020.pdf,1.12,53477,53477,"PL,DE,ES",160431,4.01,OK,
data\ANYJET User Guide V1.1.pdf,ANYJET User Guide V1.1.pdf,5.78,50975,50975,"PL,DE,ES",152925,3.82,OK,
data\07.01_D-Flex_Alternate Temperature Regulation Configuration_V1.2_04Oct2024.pdf,07.01_D-Flex_Alternate Temperature Regulation Configuration_V1.2_04Oct2024.pdf,0.23,5116,50000,"PL,DE,ES",150000,3.75,OK,
data\Connecting to a DuraFlex printer.pdf,Connecting to a DuraFlex printer.pdf,2.24,1564,50000,"PL,DE,ES",150000,3.75,OK,
data\Dura-Printer MCS2.0 Setup and Installation Guide V1.00_21Dec2022.pdf,Dura-Printer MCS2.0 Setup and Installation Guide V1.00_21Dec2022.pdf,1.44,19744,50000,"PL,DE,ES",150000,3.75,OK,
data\Digital_die_cutter_VR350_User_Guide[1].pdf,Digital_die_cutter_VR350_User_Guide[1].pdf,7.21,41599,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraBolt DuraCore Software Release Notes R3.3.0_V1.01_05Sep2025.pdf,DuraBolt DuraCore Software Release Notes R3.3.0_V1.01_05Sep2025.pdf,1.47,32586,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex - Service and Support_PPU Procedure - V1.0.pdf,DuraFlex - Service and Support_PPU Procedure - V1.0.pdf,1.65,8375,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex Declog Options Summary_R1.0.pdf,DuraFlex Declog Options Summary_R1.0.pdf,0.48,11184,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex Dehydration Management Summary_R1.0.pdf,DuraFlex Dehydration Management Summary_R1.0.pdf,0.18,1094,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex Demo GUI User Guide V4.01_03Jun2021.pdf,DuraFlex Demo GUI User Guide V4.01_03Jun2021.pdf,1.75,43306,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex Electrical Databook and Design Guide V4.03_02Aug2021.pdf,DuraFlex Electrical Databook and Design Guide V4.03_02Aug2021.pdf,1.55,43357,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex JIT Printing Guide V1.00_24May24.pdf,DuraFlex JIT Printing Guide V1.00_24May24.pdf,0.39,17198,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex Job Submission Library Guide V1.01_30Apr2021.pdf,DuraFlex Job Submission Library Guide V1.01_30Apr2021.pdf,0.61,39219,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex Printhead Storage and Shipping Guide V1.00_01Nov2022 (3).pdf,DuraFlex Printhead Storage and Shipping Guide V1.00_01Nov2022 (3).pdf,1.12,20490,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex Software Release Notes R5.0.2 V1.00_20Aug2021.pdf,DuraFlex Software Release Notes R5.0.2 V1.00_20Aug2021.pdf,0.52,19477,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex Software Release Notes R4.2.3 V1.00_30Apr2021.pdf,DuraFlex Software Release Notes R4.2.3 V1.00_30Apr2021.pdf,0.54,18549,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex Software Release Notes R5.2.2 V1.01_29Mar2022.pdf,DuraFlex Software Release Notes R5.2.2 V1.01_29Mar2022.pdf,0.75,43602,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex Spare Parts List V1.03_17April2025.pdf,DuraFlex Spare Parts List V1.03_17April2025.pdf,1.24,15230,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex System Requirements _ Xitron Support.pdf,DuraFlex System Requirements _ Xitron Support.pdf,0.06,1162,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex Software Release Notes R5.3.3 V1.01_26Aug2025.pdf,DuraFlex Software Release Notes R5.3.3 V1.01_26Aug2025.pdf,0.44,15659,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex TB0007 Inline Degasser Installation 07Dec2021.pdf,DuraFlex TB0007 Inline Degasser Installation 07Dec2021.pdf,0.82,12205,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex TB0002 Printhead Identification and System Compatibility 20Nov2020.pdf,DuraFlex TB0002 Printhead Identification and System Compatibility 20Nov2020.pdf,0.3,6391,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex TB0008 WIMM Alternate Connection 22Dec2021.pdf,DuraFlex TB0008 WIMM Alternate Connection 22Dec2021.pdf,0.38,4985,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex_MagV2 transition Overview_30Jan2025_R1.0.pdf,DuraFlex_MagV2 transition Overview_30Jan2025_R1.0.pdf,1.47,5213,50000,"PL,DE,ES",150000,3.75,OK,
data\EF-G3-B Specification sheet  .pdf,EF-G3-B Specification sheet  .pdf,0.4,8466,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraFlex TB0011 PH Hydration Settings 01Nov2022.pdf,DuraFlex TB0011 PH Hydration Settings 01Nov2022.pdf,0.55,15915,50000,"PL,DE,ES",150000,3.75,OK,
data\EZCut 330 Troubleshooting.pdf,EZCut 330 Troubleshooting.pdf,2.33,19289,50000,"PL,DE,ES",150000,3.75,OK,
data\EZCut 330_How to make the cutting  file.pdf,EZCut 330_How to make the cutting  file.pdf,0.31,895,50000,"PL,DE,ES",150000,3.75,OK,
data\EZCut 330_How to set tension.pdf,EZCut 330_How to set tension.pdf,1.82,313,50000,"PL,DE,ES",150000,3.75,OK,
data\Hydration Control.pdf,Hydration Control.pdf,0.14,5353,50000,"PL,DE,ES",150000,3.75,OK,
data\EZCut 350R Manual (1).docx.pdf,EZCut 350R Manual (1).docx.pdf,11.87,41278,50000,"PL,DE,ES",150000,3.75,OK,
data\PC Configuration.pdf,PC Configuration.pdf,0.84,2298,50000,"PL,DE,ES",150000,3.75,OK,
data\print_quality_artefacts_reference_guide.pdf,print_quality_artefacts_reference_guide.pdf,7.92,26334,50000,"PL,DE,ES",150000,3.75,OK,
data\OperationManualEFSmallSeries_en.pdf,OperationManualEFSmallSeries_en.pdf,0.88,21493,50000,"PL,DE,ES",150000,3.75,OK,
data\DuraCore Operating and Troubleshooting 01May2025.pdf,DuraCore Operating and Troubleshooting 01May2025.pdf,41.88,151355,0,"PL,DE,ES",0,0.0,SKIP_OVERSIZE,File size 41.88 MB exceeds limit of 30.0 MB
